Title,Year,Genre,Stars
Riding in Cars with Boys,2001,"Biography, Comedy, Drama","['Drew Barrymore', 'Steve Zahn', 'Adam Garcia', 'Brittany Murphy']"
Trust,2010,"Crime, Drama, Thriller","['Clive Owen', 'Catherine Keener', 'Liana Liberato', 'Jason Clarke']"
Anna and the King,1999,"Drama, History, Romance","['Jodie Foster', 'Yun-Fat Chow', 'Bai Ling', 'Tom Felton']"
Blindness,2008,"Drama, Mystery, Sci-Fi","['Julianne Moore', 'Mark Ruffalo', 'Gael García Bernal', 'Yûsuke Iseya']"
The Good Girl,2002,"Drama, Romance","['Jennifer Aniston', 'Jake Gyllenhaal', 'Deborah Rush', 'Mike White']"
Man About Town,2006,"Comedy, Drama","['Ben Affleck', 'Rebecca Romijn', 'John Cleese', 'Sam Ball']"
The Mexican,2001,"Adventure, Comedy, Crime","['Brad Pitt', 'Julia Roberts', 'James Gandolfini', 'J.K. Simmons']"
No Reservations,2007,"Comedy, Drama, Romance","['Catherine Zeta-Jones', 'Aaron Eckhart', 'Abigail Breslin', 'Patricia Clarkson']"
Transamerica,2005,"Adventure, Comedy, Drama","['Felicity Huffman', 'Kevin Zegers', 'Fionnula Flanagan', 'Andrea James']"
Straight Talk,1992,"Comedy, Drama, Romance","['Dolly Parton', 'James Woods', 'Griffin Dunne', 'Michael Madsen']"
The Juror,1996,"Crime, Drama, Thriller","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'James Gandolfini']"
Heartbreakers,2001,"Comedy, Crime, Romance","['Sigourney Weaver', 'Jennifer Love Hewitt', 'Gene Hackman', 'Ray Liotta']"
The Killer Inside Me,2010,"Crime, Drama, Thriller","['Casey Affleck', 'Kate Hudson', 'Jessica Alba', 'Ned Beatty']"
Georgia Rule,2007,"Comedy, Drama","['Jane Fonda', 'Lindsay Lohan', 'Felicity Huffman', 'Dermot Mulroney']"
Inhale,2010,"Drama, Thriller","['Dermot Mulroney', 'Diane Kruger', 'Sam Shepard', 'Rosanna Arquette']"
Happy Endings,2005,"Comedy, Drama, Music","['Lisa Kudrow', 'Steve Coogan', 'Maggie Gyllenhaal', 'Jesse Bradford']"
Mother and Child,2009,"Drama, Romance","['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Alexandria M. Salling']"
Imaginary Heroes,2004,"Comedy, Drama","['Sigourney Weaver', 'Jeff Daniels', 'Emile Hirsch', 'Michelle Williams']"
Thanks for Sharing,2012,"Comedy, Drama, Romance","['Mark Ruffalo', 'Tim Robbins', 'Gwyneth Paltrow', 'Josh Gad']"
Louder Than Bombs,2015,Drama,"['Jesse Eisenberg', 'Gabriel Byrne', 'Isabelle Huppert', 'Devin Druid']"
Fried Green Tomatoes,1991,Drama,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']"
Secret in Their Eyes,2015,"Crime, Drama, Mystery","['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts', 'Dean Norris']"
Welcome to the Dollhouse,1995,"Comedy, Drama","['Heather Matarazzo', 'Christina Brucato', 'Victoria Davis', 'Christina Vidal']"
Manderlay,2005,Drama,"['Bryce Dallas Howard', 'Isaach De Bankolé', 'Danny Glover', 'Willem Dafoe']"
Maps to the Stars,2014,"Comedy, Drama","['Julianne Moore', 'Mia Wasikowska', 'Robert Pattinson', 'John Cusack']"
Before I Go to Sleep,2014,"Drama, Horror, Mystery","['Nicole Kidman', 'Colin Firth', 'Mark Strong', 'Anne-Marie Duff']"
Prime,2005,"Comedy, Drama, Romance","['Uma Thurman', 'Meryl Streep', 'Bryan Greenberg', 'Jon Abrahams']"
Triangle,2009,"Fantasy, Mystery, Thriller","['Melissa George', 'Joshua McIvor', 'Jack Taylor', 'Michael Dorman']"
Blue Jasmine,2013,Drama,"['Cate Blanchett', 'Alec Baldwin', 'Peter Sarsgaard', 'Sally Hawkins']"
The Kings of Summer,2013,"Adventure, Comedy, Drama","['Nick Robinson', 'Gabriel Basso', 'Moises Arias', 'Nick Offerman']"
The Painted Veil,2006,"Drama, Romance","['Naomi Watts', 'Edward Norton', 'Liev Schreiber', 'Catherine An']"
Wild,2014,"Biography, Drama","['Reese Witherspoon', 'Laura Dern', 'Gaby Hoffmann', 'Michiel Huisman']"
Warm Bodies,2013,"Comedy, Horror, Romance","['Nicholas Hoult', 'Teresa Palmer', 'John Malkovich', 'Analeigh Tipton']"
Nine Lives,2005,Drama,"['Kathy Baker', 'Amy Brenneman', 'Glenn Close', 'LisaGay Hamilton']"
The House of the Devil,2009,Horror,"['Jocelin Donahue', 'Tom Noonan', 'Mary Woronov', 'Greta Gerwig']"
Good Time,2017,"Crime, Drama, Thriller","['Josh Safdie', 'Robert Pattinson', 'Benny Safdie', 'Jennifer Jason Leigh', 'Buddy Duress']"
Time Lapse,2014,"Sci-Fi, Thriller","['Danielle Panabaker', ""Matt O'Leary"", 'George Finn', 'John Rhys-Davies']"
Closet Monster,2015,"Drama, Fantasy, Mystery","['Aaron Abrams', 'Jack Fulton', 'Joanne Kelly', 'Isabella Rossellini']"
Cidade de Deus,2002,"Crime, Drama","['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
Mr. Nobody,2009,"Drama, Fantasy, Romance","['Jared Leto', 'Sarah Polley', 'Diane Kruger', 'Linh Dan Pham']"
Hard Candy,2005,"Drama, Thriller","['Patrick Wilson', 'Ellen Page', 'Sandra Oh', 'Odessa Rae']"
Última Parada 174,2008,"Crime, Drama, Thriller","['Michel Gomes', 'Cris Vianna', 'Marcello Melo Jr.', 'Gabriela Luiz']"
Black Panther,2010,"Animation, Action, Adventure","['Jill Scott', 'Carl Lumbly', 'Stephen Stanton']"
House of Usher,1960,"Drama, Horror","['Vincent Price', 'Mark Damon', 'Myrna Fahey', 'Harry Ellerbe']"
Gomorra,2008,"Crime, Drama","['Gianfelice Imparato', 'Salvatore Abbruzzese', 'Toni Servillo', 'Simone Sacchettino']"
The Stick Up Kids,2008,Drama,"['Tariq Alexander', 'Mel Jackson', 'Bryce Wilson', 'Holly Joy Gaines']"
Asunder,1999,"Drama, Romance, Thriller","['Blair Underwood', 'Debbi Morgan', 'Michael Beach', 'Marva Hicks']"
Angels with Dirty Faces,1938,"Crime, Drama, Film-Noir","['James Cagney', ""Pat O'Brien"", 'Humphrey Bogart', 'Ann Sheridan']"
The Roaring Twenties,1939,"Crime, Drama, Film-Noir","['James Cagney', 'Humphrey Bogart', 'Priscilla Lane', 'Gladys George']"
The Feast of All Saints,2001,"Drama, Romance","[""Robert Ri'chard"", 'Peter Gallagher', 'Gloria Reuben', 'Jennifer Beals']"
Gangster No. 1,2000,"Crime, Drama, Thriller","['Malcolm McDowell', 'David Thewlis', 'Paul Bettany', 'Saffron Burrows']"
Jerusalema,2008,"Action, Crime, Drama","['Rapulana Seiphemo', 'Jeffrey Zekele', 'Ronnie Nyakale', 'Shelley Meskin']"
Johnny Mad Dog,2008,"Drama, War","['Christophe Minie', 'Daisy Victoria Vandy', 'Joseph Duo', 'Dagbeth Tweh']"
The Last Gangster,1937,"Crime, Drama, Thriller","['Edward G. Robinson', 'James Stewart', 'Rose Stradner', 'Lionel Stander']"
The Public Enemy,1931,"Crime, Drama","['James Cagney', 'Jean Harlow', 'Edward Woods', 'Joan Blondell']"
Brother Orchid,1940,"Comedy, Crime, Drama","['Edward G. Robinson', 'Humphrey Bogart', 'Ann Sothern', 'Donald Crisp']"
White Heat,1949,"Action, Crime, Drama","['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']"
Grandma's Boy,2006,Comedy,"['Allen Covert', 'Linda Cardellini', 'Shirley Jones', 'Peter Dante']"
Bloody Crisis,2002,"Action, Drama, Horror","['Gano Grills', 'Kalimi Baxter', 'Jamel Scott', 'Olatunde Olusei']"
The Boondock Saints,1999,"Action, Crime, Thriller","['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']"
Powder Blue,2009,Drama,"['Jessica Biel', 'Eddie Redmayne', 'Forest Whitaker', 'Ray Liotta']"
Death of a Dynasty,2003,"Musical, Comedy","['Ebon Moss-Bachrach', 'Robert Stapleton', 'Capone Lee', 'Loon']"
Lackawanna Blues,2005,"Drama, Music","['S. Epatha Merkerson', 'Marcus Carl Franklin', 'Yasiin Bey', 'Carmen Ejogo']"
Bowfinger,1999,Comedy,"['Steve Martin', 'Eddie Murphy', 'Heather Graham', 'Christine Baranski']"
Amadeus,1984,"Biography, Drama, History","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']"
Marley,2012,"Documentary, Biography, Music","['Bob Marley', 'Ziggy Marley', 'Rita Marley', 'Jimmy Cliff']"
T Bone N Weasel,1992,Comedy,"['Gregory Hines', 'Christopher Lloyd', 'Ned Beatty', 'Larry Hankin']"
Cabin in the Sky,1943,"Fantasy, Musical","['Busby Berkeley', 'Ethel Waters', ""Eddie 'Rochester' Anderson"", 'Lena Horne', 'Louis Armstrong']"
The Green Pastures,1936,Drama,"['William Keighley', 'Rex Ingram', 'Oscar Polk', ""Eddie 'Rochester' Anderson"", 'Frank H. Wilson']"
Siu nin Wong Fei Hung chi: Tit ma lau,1993,"Action, Crime, Drama","['Rongguang Yu', 'Donnie Yen', 'Jean Wang', 'Sze-Man Tsang']"
Ong-bak,2003,"Action, Crime, Thriller","['Tony Jaa', 'Petchtai Wongkamlao', 'Pumwaree Yodkamol', 'Suchao Pongwilai']"
Yip Man,2008,"Action, Biography, Drama","['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka Tung Lam']"
Tom yum goong,2005,"Action, Crime, Drama","['Tony Jaa', 'Nathan Jones', 'Xing Jin', 'Petchtai Wongkamlao']"
Chi bi,2008,"Action, Adventure, Drama","['Tony Chiu-Wai Leung', 'Takeshi Kaneshiro', 'Fengyi Zhang', 'Chen Chang']"
Qi jian,2005,"Action, Adventure, Fantasy","['Leon Lai', 'Donnie Yen', 'Charlie Yeung', 'Honglei Sun']"
Di renjie: Tong tian di guo,2010,"Action, Adventure, Drama","['Tony Ka Fai Leung', 'Chao Deng', 'Carina Lau', 'Bingbing Li']"
Shi mian mai fu,2004,"Action, Adventure, Drama","['Ziyi Zhang', 'Takeshi Kaneshiro', 'Andy Lau', 'Dandan Song']"
Man cheng jin dai huang jin jia,2006,"Action, Adventure, Drama","['Yun-Fat Chow', 'Li Gong', 'Jay Chou', 'Ye Liu']"
Clockers,1995,"Crime, Drama, Mystery","['Harvey Keitel', 'John Turturro', 'Delroy Lindo', 'Mekhi Phifer']"
Hoodlum,1997,"Crime, Drama","['Laurence Fishburne', 'Tim Roth', 'Vanessa Williams', 'Andy Garcia']"
Nothing But Trouble,1991,Comedy,"['Chevy Chase', 'Dan Aykroyd', 'John Candy', 'Demi Moore']"
Foolish,1999,"Comedy, Drama","['Eddie Griffin', 'Master P', 'Amie Petersen', 'Frank Sivero']"
Who Made the Potatoe Salad?,2006,"Comedy, Romance","['Daphne Bloomer', 'Michael Colyar', 'Kaleem Daniels', 'DeRay Davis']"
Shottas,2002,"Action, Crime, Drama","['Ky-Mani Marley', 'Spragga Benz', 'Louie Rankin', 'Paul Campbell']"
Rude Boy: The Jamaican Don,2003,Action,"['LaNease Adams', 'Nahtasha Budhi', 'Jimmy Cliff', ""John 'Ras Kidus' Cornelius""]"
Third World Cop,1999,"Action, Drama, Thriller","['Paul Campbell', 'Mark Danvers', 'Carl Bradshaw', ""Winston 'Bello' Bell""]"
Candyman,1992,"Horror, Thriller","['Virginia Madsen', 'Xander Berkeley', 'Tony Todd', 'Kasi Lemmons']"
L'amant,1992,"Biography, Drama, Romance","['Jane March', 'Tony Ka Fai Leung', 'Frédérique Meininger', 'Arnaud Giovaninetti']"
Lat sau san taam,1992,"Action, Crime, Thriller","['Yun-Fat Chow', 'Tony Chiu-Wai Leung', 'Teresa Mo', 'Philip Chan']"
Tropa de Elite,2007,"Action, Crime, Drama","['Wagner Moura', 'André Ramiro', 'Caio Junqueira', 'Milhem Cortaz']"
American Me,1992,"Biography, Crime, Drama","['Edward James Olmos', 'William Forsythe', 'Sal Lopez', 'Vira Montes']"
The Lawnmower Man,1992,"Horror, Sci-Fi","['Jeff Fahey', 'Pierce Brosnan', 'Jenny Wright', 'Mark Bringelson']"
The Last American Virgin,1982,"Comedy, Drama, Romance","['Lawrence Monoson', 'Diane Franklin', 'Steve Antin', 'Joe Rubbo']"
Haute tension,2003,Horror,"['Cécile de France', 'Maïwenn', 'Philippe Nahon', 'Franck Khalfoun']"
Lucky Number Slevin,2006,"Crime, Drama, Mystery","['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']"
Equilibrium,2002,"Action, Drama, Sci-Fi","['Christian Bale', 'Sean Bean', 'Emily Watson', 'Taye Diggs']"
Cube,1997,"Drama, Mystery, Sci-Fi","['Nicole de Boer', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller']"
Stir of Echoes,1999,"Horror, Mystery, Thriller","['Kevin Bacon', 'Zachary David Cope', 'Kathryn Erbe', 'Illeana Douglas']"
Darkman,1990,"Action, Sci-Fi, Thriller","['Liam Neeson', 'Frances McDormand', 'Colin Friels', 'Larry Drake']"
Hollow Man,2000,"Action, Horror, Sci-Fi","['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin', 'Kim Dickens']"
Feast,2005,"Action, Comedy, Horror","['Navi Rawat', 'Krista Allen', 'Balthazar Getty', 'Judah Friedlander']"
The Shawshank Redemption,1994,Drama,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
The Godfather,1972,"Crime, Drama","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
The Dark Knight,2008,"Action, Crime, Drama","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
The Godfather: Part II,1974,"Crime, Drama","['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
Pulp Fiction,1994,"Crime, Drama","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
Schindler's List,1993,"Biography, Drama, History","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
12 Angry Men,1957,Drama,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
"Il buono, il brutto, il cattivo",1966,Western,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
Forrest Gump,1994,"Drama, Romance","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
Inception,2010,"Action, Adventure, Sci-Fi","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Ken Watanabe']"
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
Fight Club,1999,Drama,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
Dangal,2016,"Action, Biography, Drama","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
Star Wars,1977,"Action, Adventure, Fantasy","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
The Matrix,1999,"Action, Sci-Fi","['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
Goodfellas,1990,"Biography, Crime, Drama","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
One Flew Over the Cuckoo's Nest,1975,Drama,"['Jack Nicholson', 'Louise Fletcher', 'Will Sampson', 'Michael Berryman']"
Cidade de Deus,2002,"Crime, Drama","['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
