Title,Year,Genre,Stars,Rating,Duration
Girlfriends,2000,Comedy,"['Golden Brooks', 'Persia White', 'Reginald C. Hayes']",7.1,30
Mission: Impossible,1988,"Action, Adventure, Crime","['Thaao Penghlis', 'Antony Hamilton', 'Phil Morris']",8.5,47
Maude,1972,Comedy,"['Bill Macy', 'Conrad Bain', 'Rue McClanahan']",8.1,30
Generation Kill,2008,"Drama, War","['James Ransone', 'Lee Tergesen', 'Jon Huertas']",7.6,70
Counterpart,2017,"Drama, Sci-Fi, Thriller","['Olivia Williams', 'Harry Lloyd', 'Nazanin Boniadi']",7.7,60
Arrow,2012,"Action, Adventure, Crime","['Katie Cassidy', 'David Ramsey', 'Susanna Thompson']",8.3,42
Barefoot in the Park,1970,Comedy,"['Tracy Reed', 'Thelma Carpenter', 'Nipsey Russell']",8.1,30
All in the Family,1971,"Comedy, Drama","['Jean Stapleton', 'Rob Reiner', 'Sally Struthers']",8.8,30
Altered Carbon,2018,"Action, Drama, Sci-Fi","['Renée Elise Goldsberry', 'Will Yun Lee', 'Dichen Lachman']",7.4,60
Twin Peaks,1990,"Crime, Drama, Mystery","['Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']",7.8,47
Everybody Hates Chris,2005,Comedy,"['Tichina Arnold', 'Tequan Richmond', 'Imani Hakim']",8.5,22
Insecure,2016,"Comedy, Romance","['Yvonne Orji', 'Jay Ellis', 'Lisa Joyce']",7.7,30
Il capo dei capi,2007,"Biography, Crime, Drama","['Daniele Liotti', 'Salvatore Lazzaro', 'Simona Cavallari']",7.6,100
The 100,2014,"Drama, Mystery, Sci-Fi","['Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']",7.2,43
Julia,1968,Comedy,"['Lloyd Nolan', 'Marc Copage', 'Michael Link']",7.6,30
Boston Public,2000,"Comedy, Drama","['Anthony Heald', 'Fyvush Finkel', 'Chi McBride']",8.6,60
Taxi,1978,Comedy,"['Jeff Conaway', 'Danny DeVito', 'Marilu Henner']",8.4,30
Vikings,2013,"Action, Adventure, Drama","['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",8.6,44
Person of Interest,2011,"Action, Crime, Drama","['Taraji P. Henson', 'Kevin Chapman', 'Michael Emerson']",8.3,43
Mad Men,2007,Drama,"['Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",8.1,47
Orphan Black,2013,"Action, Drama, Sci-Fi","['Dylan Bruce', 'Jordan Gavaris', 'Kevin Hanchard']",7.2,44
Damages,2007,"Crime, Drama, Mystery","['Rose Byrne', 'Tate Donovan', 'Zachary Booth']",8.4,60
Eye Candy,2015,"Crime, Drama, Mystery","['Casey Deidrick', 'Harvey Guillén', 'Marcus Callender']",7.5,60
Brigada,2002,"Action, Crime, Drama","['Dmitriy Dyuzhev', 'Pavel Maykov', 'Vladimir Vdovichenkov']",7.4,750
Dark Matter,2015,"Adventure, Drama, Mystery","['Anthony Lemke', 'Alex Mallari Jr.', 'Jodelle Ferland']",7.3,42
Colony,2016,"Action, Adventure, Drama","['Sarah Wayne Callies', 'Peter Jacobson', 'Tory Kittles']",7.3,42
The Defenders,2017,"Action, Adventure, Crime","['Krysten Ritter', 'Mike Colter', 'Finn Jones']",7.8,50
Incorporated,2016,"Crime, Drama, Sci-Fi","['Allison Miller', 'Eddie Ramos', 'Julia Ormond']",8.5,43
The Fades,2011,"Fantasy, Horror, Mystery","['Tom Ellis', 'Daniel Kaluuya', 'Iain De Caestecker']",7.2,55
The IT Crowd,2006,Comedy,"['Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']",7.4,25
Frontier,2016,"Adventure, Drama, History","['Landon Liboiron', 'Zoe Boyle', 'Greg Bryk']",7.3,60
Malcolm in the Middle,2000,"Comedy, Family","['Bryan Cranston', 'Justin Berfield', 'Erik Per Sullivan']",7.5,22
Outcast,2016,"Drama, Horror","['Philip Glenister', 'Wrenn Schmidt', 'Reg E. Cathey']",7.2,60
Lilyhammer,2012,"Comedy, Crime, Drama","['Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']",7.2,45
Roadies,2016,"Comedy, Drama, Music","['Luke Wilson', 'Imogen Poots', 'Rafe Spall']",7.6,60
The Invisible Man,2000,"Action, Comedy, Sci-Fi","['Paul Ben-Victor', 'Shannon Kenny', 'Eddie Jones']",8.2,120
Channel Zero,2016,"Drama, Fantasy, Horror","['Marina Stephenson Kerr', 'Abigail Pniowsky', 'Diana Bentley']",8.7,44
The Incredible Hulk,1977,"Action, Adventure, Drama","['Lou Ferrigno', 'Jack Colvin', 'Charles Napier']",8.3,60
Dirty Sexy Money,2007,Drama,"['Donald Sutherland', 'William Baldwin', 'Natalie Zea']",8.6,45
Real Husbands of Hollywood,2013,Comedy,"['Duane Martin', 'Nick Cannon', 'Cynthia Kaye McWilliams']",7.3,21
Happy!,2017,"Action, Comedy, Crime","['Ritchie Coster', 'Lili Mirojnick', 'Patton Oswalt']",8.2,60
Fleabag,2016,"Comedy, Drama","['Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']",7.3,27
Vice Principals,2016,Comedy,"['Walton Goggins', 'Sheaun McKinney', 'Georgia King']",7.7,30
Homeland,2011,"Crime, Drama, Mystery","['Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",6.9,55
Deadwood,2004,"Crime, Drama, History","['Ian McShane', 'Molly Parker', 'Brad Dourif']",8.5,55
A.D.,1985,"Drama, History","['Colleen Dewhurst', 'Ava Gardner', 'David Hedison']",8.2,600
Animal Kingdom,2016,"Crime, Drama","['Ben Robson', 'Jake Weary', 'Finn Cole']",8.5,60
Mannix,1967,"Action, Crime, Drama","['Gail Fisher', 'Ward Wood', 'Ron Nyman']",7.5,60
The Alienist,2018,"Drama, Mystery","['Dakota Fanning', 'Luke Evans', 'Brian Geraghty']",7.8,60
The Breaks,2016,"Drama, Music","['Sinqua Walls', 'Afton Williamson', 'Tristan Mack Wilds', 'Antoine Harris']",7.4,96
Fear the Walking Dead,2015,"Drama, Horror, Sci-Fi","['Frank Dillane', 'Cliff Curtis', 'Rubén Blades']",7.7,44
Spartacus: Blood and Sand,2010,"Action, Adventure, Biography","['Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']",7.5,55
Penny Dreadful,2014,"Drama, Fantasy, Horror","['Timothy Dalton', 'Eva Green', 'Reeve Carney']",7.4,60
Spartacus: Gods of the Arena,2011,"Action, Adventure, Biography","['Manu Bennett', 'Peter Mensah', 'Dustin Clare']",7.7,331
The Last Ship,2014,"Action, Drama, Sci-Fi","['Adam Baldwin', 'Charles Parnell', 'Travis Van Winkle']",7.5,60
A Series of Unfortunate Events,2017,"Adventure, Comedy, Drama","['Patrick Warburton', 'Malina Weissman', 'Louis Hynes']",6.8,50
House of Lies,2012,"Comedy, Drama","['Kristen Bell', 'Ben Schwartz', 'Josh Lawson']",8.9,28
Desmond's,1989,Comedy,"['Carmen Munroe', 'Ram John Holder', 'Gyearbuor Asante']",7.1,50
Legends,2014,"Action, Crime, Drama","['Morris Chestnut', 'Ali Larter', 'Tina Majorino']",6.7,60
Wet Hot American Summer: First Day of Camp,2015,Comedy,"['Zak Orth', 'Paul Rudd', 'Michael Showalter']",7.4,30
Love,2016,"Comedy, Drama, Romance","['Paul Rust', ""Claudia O'Doherty"", 'Mike Mitchell']",7.1,50
Impulse,2018,"Action, Drama, Sci-Fi","['Sarah Desjardins', 'Enuka Okuma', 'Craig Arnold']",7.8,50
Time Traveling Bong,2016,Comedy,"['Paul W. Downs', 'Kevin Heffernan', 'Jerry G. Angelo']",7.5,22
The New Edition Story,2017,"Biography, Drama, Music","['Elijah Kelley', 'Luke James', 'Woody McClain']",7.5,120
The Girlfriend Experience,2016,Drama,"['Paul Sparks', 'Mary Lynn Rajskub', 'Briony Glassco']",8.7,27
Powers,2015,"Action, Crime, Drama","['Susan Heyward', 'Noah Taylor', 'Eddie Izzard']",7.6,42
Amazing Stories,1985,"Adventure, Comedy, Drama","['Douglas Seale', 'Louis Giambalvo', 'Sharon Spelman']",7.6,30
Falling Skies,2011,"Action, Adventure, Drama","['Drew Roy', 'Maxim Knight', 'Will Patton']",7.2,42
The End of the F***ing World,2017,"Adventure, Comedy, Crime","['Alex Lawther', 'Steve Oram', 'Christine Bottomley']",8.1,25
The Six Million Dollar Man,1974,"Action, Adventure, Crime","['Richard Anderson', 'Martin E. Brooks', 'Lindsay Wagner']",7.1,60
Twin Peaks,2017,"Crime, Drama, Fantasy","['Sheryl Lee', 'Michael Horse', 'Chrysta Bell']",8.5,60
El Chapo,2017,"Crime, Drama","['Humberto Busto', 'Diego Vásquez', 'Juan Carlos Cruz']",7.8,43
The Electric Company,1971,"Family, Comedy","['Morgan Freeman', 'Judy Graubart', 'Skip Hinnant']",8.1,28
Oz,1997,"Crime, Drama, Thriller","['J.K. Simmons', 'Lee Tergesen', 'Dean Winters']",8.7,55
Soul Food,2000,Drama,"['Darrin Dewitt Henson', 'Aaron Meeks', 'Nicole Ari Parker']",7.2,45
Jessica Jones,2015,"Action, Crime, Drama","['Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']",8.8,56
Freaks and Geeks,1999,"Comedy, Drama","['John Francis Daley', 'James Franco', 'Samm Levine']",7.5,44
"Magnum, P.I.",1980,"Action, Adventure, Crime","['John Hillerman', 'Roger E. Mosley', 'Larry Manetti']",7.6,48
Moonlighting,1985,"Comedy, Drama, Mystery","['Bruce Willis', 'Allyce Beasley', 'Curtis Armstrong']",7.7,60
New Girl,2011,Comedy,"['Jake Johnson', 'Max Greenfield', 'Hannah Simone']",7.5,22
Outsourced,2010,Comedy,"['Anisha Nagarajan', 'Diedrich Bader', 'Parvesh Cheena']",7.1,30
Hung,2009,"Comedy, Drama","['Jane Adams', 'Charlie Saxton', 'Sianoa Smit-McPhee']",7.8,30
Save Me,2018,"Drama, Mystery","['Stephen Graham', 'Suranne Jones', 'Susan Lynch']",7.3,270
Girls,2012,"Comedy, Drama","['Allison Williams', 'Jemima Kirke', 'Adam Driver']",7.2,28
Flaked,2016,"Comedy, Drama","['David Sullivan', 'Ruth Kearney', 'George Basil']",8.2,30
Sledge Hammer!,1986,"Action, Comedy","['Anne-Marie Martin', 'Harrison Page', 'Leslie Morris']",8.2,30
Skins,2007,Drama,"['Nicholas Hoult', 'Joe Dempsie', 'Hannah Murray']",7.3,46
Matlock,1986,"Crime, Drama, Mystery","['Linda Purl', 'Kene Holiday', 'Nancy Stafford']",7.5,60
The Strain,2014,"Drama, Horror, Thriller","['David Bradley', 'Kevin Durand', 'Jonathan Hyde']",7.7,43
Mortal Kombat,2011,"Action, Adventure, Crime","['Ian Anthony Dale', 'Samantha Win', 'Kim Do Nguyen']",7.5,10
Chewing Gum,2015,Comedy,"['Danielle Walters', 'Robert Lonsdale', 'Shola Adewusi']",7.3,23
High Maintenance,2016,"Comedy, Drama","['Kate Lyn Sheil', 'Britt Lower', 'Abdullah Saeed']",7.5,30
Search Party,2016,"Comedy, Crime, Drama","['John Reynolds', 'John Early', 'Meredith Hagner']",8.3,24
That's My Bush!,2001,Comedy,"['Carrie Quinn Dolin', 'Kurt Fuller', 'Marcia Wallace']",7.3,30
American Dreams,2002,"Drama, Family, History","['Tom Verica', 'Brittany Snow', 'Jonathan Adams']",8.3,60
The Last Kingdom,2015,"Action, Drama, History","['Eliza Butterworth', 'Ian Hart', 'David Dawson']",8.3,60
Greenleaf,2016,Drama,"['Desiree Ross', 'Kim Hawthorne', 'Lamman Rucker']",8.9,60
Scrubs,2001,"Comedy, Drama","['Donald Faison', 'Sarah Chalke', 'John C. McGinley']",8.7,22
The Pacific,2010,"Action, Adventure, Drama","['Joseph Mazzello', 'Jon Seda', 'Ashton Holmes']",8.6,530
Vice,2013,"Documentary, News","['Gianna Toboni', 'Thomas Morton', 'Ben Anderson']",8.4,30
The Shield,2002,"Crime, Drama, Thriller","['Catherine Dent', 'Walton Goggins', 'Michael Jace']",7.5,47
Justified,2010,"Action, Crime, Drama","['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']",6.8,44
Banshee,2013,"Action, Crime, Drama","['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']",6.6,60
Threads,1984,"Drama, Sci-Fi, War","['Karen Meagher', 'Reece Dinsdale', 'David Brierly', 'Rita May']",8.1,112
The Chi,2018,Drama,"['Jacob Latimore', 'Ntare Guma Mbaho Mwine', 'Alex R. Hibbert']",7.3,60
It,1990,"Drama, Horror, Mystery","['Tim Reid', ""Annette O'Toole"", 'Harry Anderson']",7.8,192
The Breaks,2017,"Drama, Music","['Tristan Mack Wilds', 'Antoine Harris', 'Sinqua Walls']",7.9,42
American Horror Story,2011,"Drama, Horror, Thriller","['Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",8.3,60
Blackstone,2009,"Action, Drama","['Eric Schweig', 'Michelle Thrush', 'Steven Cree Molison']",8.1,44
Curiosity,2011,Documentary,"['Martin Sheen', 'Sean Barrett', 'Morgan Freeman']",7.6,45
Masters of Sex,2013,"Drama, Romance","['Lizzy Caplan', 'Caitlin FitzGerald', 'Teddy Sears']",8.3,60
Sense8,2015,"Drama, Mystery, Sci-Fi","['Jamie Clayton', 'Tina Desai', 'Tuppence Middleton']",7.2,60
Orange Is the New Black,2013,"Comedy, Crime, Drama","['Danielle Brooks', 'Taryn Manning', 'Emma Myles']",7.4,59
Destination Truth,2007,Reality-TV,"['Gabriel Copeland', 'Mike Morrell', 'Erin Ryder']",6.9,60
The Leftovers,2014,"Drama, Fantasy, Mystery","['Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']",6.9,60
Another Period,2013,"Comedy, History","['Riki Lindhome', 'Armen Weitzman', 'Michael Ian Black']",8.2,21
Lady Dynamite,2016,Comedy,"['Fred Melamed', 'Mary Kay Place', 'Ana Gasteyer']",7.5,30
Adam Ruins Everything,2015,"Animation, Comedy, History","['Adam Lustick', 'Emily Axford', 'Amos Vernon']",7.4,30
A Different World,1987,Comedy,"['Kadeem Hardison', 'Jasmine Guy', 'Darryl M. Bell']",7.1,60
White Rabbit Project,2016,Reality-TV,"['Kari Byron', 'Grant Imahara', 'Igor Breakenback']",7.4,48
Good Girls Revolt,2015,Drama,"['Anna Camp', 'Erin Darke', 'Hunter Parrish']",8.4,55
Second Chance,2016,"Drama, Sci-Fi","['Dilshad Vadsaria', 'Adhir Kalyan', 'Ciara Bravo']",8.4,42
Sleepy Hollow,2013,"Action, Adventure, Crime","['Lyndie Greenwood', 'Nicole Beharie', 'Orlando Jones']",8.7,45
Dark Net,2016,Documentary,"['Kristie', 'Drew', 'Anisha Vora']",7.4,30
Fortitude,2015,"Drama, Horror, Mystery","['Björn Hlynur Haraldsson', 'Sienna Guillory', 'Mia Jexen']",7.3,60
Billions,2016,Drama,"['Damian Lewis', 'Maggie Siff', 'David Costabile']",7.1,60
Bloodline,2015,"Drama, Thriller","['Ben Mendelsohn', 'Linda Cardellini', 'Sissy Spacek']",7.4,60
Bosch,2014,"Crime, Drama","['Jamie Hector', 'Amy Aquino', 'Lance Reddick']",7.2,51
Flesh and Bone,2015,Drama,"['Ben Daniels', 'Emily Tyra', 'Irina Dvorovenko']",8.5,60
Gomorra: La serie,2014,"Crime, Drama, Thriller","[""Marco D'Amore"", ""Cristiana Dell'Anna"", 'Fortunato Cerlino']",7.2,55
3%,2016,"Action, Drama, Sci-Fi","['Vaneza Oliveira', 'Rodolfo Valente', 'Zezé Motta']",7.2,49
Believe,2014,"Drama, Fantasy, Sci-Fi","['Johnny Sequoyah', 'Jamie Chung', 'Kyle MacLachlan']",7.4,43
Pitch,2016,"Drama, Sport","['Mark-Paul Gosselaar', 'Mark Consuelos', 'Mo McRae']",6.6,60
StartUp,2016,"Crime, Thriller","['Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza']",6.7,44
Containment,2016,Drama,"['Christina Moses', 'Chris Wood', 'Claudia Black']",8.8,60
The Knick,2014,"Drama, History","['André Holland', 'Jeremy Bobb', 'Juliet Rylance']",6.4,58
The Shannara Chronicles,2016,"Adventure, Fantasy, Sci-Fi","['Ivana Baquero', 'Manu Bennett', 'Aaron Jakubenko']",5.2,42
Emerald City,2016,"Adventure, Drama, Fantasy","['Oliver Jackson-Cohen', 'Ana Ularu', 'Gerran Howell']",5.7,60
What's Happening!!,1976,Comedy,"['Haywood Nelson', 'Danielle Spencer', 'Fred Berry']",7.7,24
Thirtysomething,1987,"Drama, Romance","['Polly Draper', 'Mel Harris', 'Peter Horton']",7.1,60
Shuga,2009,Drama,"['Jemima Osunde', 'Timini Egbuson', 'Ayanda Makayi']",6.4,24
Sybil,1976,"Biography, Drama","['Sally Field', 'Brad Davis', 'Martine Bartlett']",6.9,198
Heroes Reborn,2015,"Drama, Fantasy, Sci-Fi","['Zachary Levi', 'Robbie Kay', 'Kiki Sukezane']",8.5,60
Li Xiao Long chuan qi,2008,"Action, Biography, Drama","['Michelle Lang', 'Ted Duran', 'Hazen MacIntyre']",6.8,183
Cobra Kai,2018,"Action, Comedy, Drama","['Ralph Macchio', 'William Zabka', 'Courtney Henggeler']",8.6,30
Cleverman,2016,"Drama, Fantasy, Sci-Fi","['Rob Collins', 'Tasma Walton', 'Rarriwuy Hick']",8.3,50
Rebel,2017,"Crime, Drama","['Angela Ko', 'Brandon Quinn', 'Derek Ray']",7.3,83
Guerrilla,2017,Drama,"['Nathaniel Martello-White', 'Daniel Mays', 'Denise Gough']",6.1,60
The Detour,2016,"Adventure, Comedy","['Natalie Zea', 'Ashley Gerasimovich', 'Liam Carroll']",7.9,30
The Blacklist: Redemption,2017,"Action, Crime, Drama","['Ryan Eggold', 'Edi Gathegi', 'Tawny Cypress']",7.2,43
Shots Fired,2017,"Crime, Drama","['Stephan James', 'Stephen Moyer', 'Will Patton']",7.3,43
The Mod Squad,1968,"Action, Crime, Drama","['Clarence Williams III', 'Peggy Lipton', 'Tige Andrews']",6.8,60
The Handmaid's Tale,2017,"Drama, Sci-Fi, Thriller","['Amanda Brugel', 'Madeline Brewer', 'Max Minghella']",7.3,60
The Wizard of Lies,2017,"Biography, Crime, Drama","['Robert De Niro', 'Michelle Pfeiffer', 'Alessandro Nivola', 'Nathan Darrow']",8.4,133
The Crazy Ones,2013,Comedy,"['Sarah Michelle Gellar', 'James Wolk', 'Hamish Linklater']",7.1,30
The Originals,2013,"Drama, Fantasy, Horror","['Daniel Gillies', 'Claire Holt', 'Phoebe Tonkin']",8.2,45
True Colors,1990,Comedy,"['Brigid Brannagh', 'Adam Jeffries', 'Nancy Walker']",7.1,30
13 Reasons Why,2017,"Drama, Mystery","['Katherine Langford', 'Christian Navarro', 'Alisha Boe']",7.8,60
Survivor's Remorse,2014,Drama,"['Jessie T. Usher', 'Erica Ash', 'Teyonah Parris']",6.9,30
Brown Nation,2016,Comedy,"['Kapil Bawa', 'Jaspal Binning', 'Melanie Chandra']",6.9,21
The Looming Tower,2018,"Drama, History","['Tahar Rahim', 'Wrenn Schmidt', 'Bill Camp']",8.4,492
The Young Pope,2016,Drama,"['Diane Keaton', 'Silvio Orlando', 'Javier Cámara']",7.7,546
The Flash,2014,"Action, Adventure, Drama","['Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']",8.6,43
Doctor Who,2005,"Adventure, Drama, Family","['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",7.9,45
iZombie,2015,"Comedy, Crime, Drama","['Malcolm Goodwin', 'Rahul Kohli', 'Robert Buckley']",8.2,42
The Sinner,2017,"Crime, Drama, Mystery","['Dohn Norwood', 'Adam LeFevre', 'Jessica Biel']",8.3,45
War & Peace,2016,"Drama, History, Romance","['James Norton', 'Lily James', 'Adrian Edmondson']",7.4,379
Poldark,2015,"Drama, History, Romance","['Eleanor Tomlinson', 'Jack Farthing', 'Beatie Edney']",7.7,60
Run,2013,"Crime, Drama","['Katharina Schüttler', 'Lennie James', 'Levan Doran']",6.9,60
Brotherhood,2006,"Crime, Drama","['Jason Clarke', 'Annabeth Gish', 'Kevin Chapman']",6.7,60
Scare Tactics,2003,"Comedy, Horror, Reality-TV","['Lauren Ash', 'Travis Draft', 'Sven Holmberg']",6.6,180
The Driver,2014,"Crime, Drama","['Claudie Blakley', 'Ian Hart', 'Sacha Parkinson']",7.6,60
Dallas,1978,"Drama, Romance","['Ken Kercheval', 'Patrick Duffy', 'Linda Gray']",7.5,43
Defiance,2013,"Action, Drama, Sci-Fi","['Stephanie Leonidas', 'Julie Benz', 'Graham Greene']",7.8,42
Extant,2014,"Drama, Sci-Fi, Thriller","['Pierce Gagnon', 'Grace Gummer', 'Tyler Hilton']",5.9,30
Hindsight,2015,"Comedy, Drama","['Sarah Goldberg', 'Craig Horner', 'Nick Clifford']",6.9,30
Togetherness,2015,"Comedy, Drama, Romance","['Melanie Lynskey', 'Amanda Peet', 'Steve Zissis']",6.6,22
Sirens,2014,Comedy,"['Kevin Daniels', 'Kevin Bigley', 'Jessica McNamee']",7.8,42
Minority Report,2015,"Action, Crime, Drama","['Stark Sands', 'Nick Zano', 'Daniel London']",6.1,60
The player,2015,"Action, Crime, Drama","['Damon Gupton', 'Wesley Snipes', 'Charity Wakefield']",6.3,46
L.A. Law,1986,Drama,"['Jill Eikenberry', 'Alan Rachins', 'Michael Tucker']",7.9,43
Under the Dome,2013,"Drama, Mystery, Sci-Fi","['Rachelle Lefevre', 'Alexander Koch', 'Colin Ford']",6.8,60
Midnight Caller,1988,Drama,"['Dennis Dun', 'Arthur Taxier', 'Mykelti Williamson']",7.6,43
Black Lightning,2018,"Action, Drama, Sci-Fi","['China Anne McClain', 'Nafessa Williams', 'Christine Adams']",7.1,60
Ghost Wars,2017,"Drama, Fantasy, Horror","['Kim Coates', 'Luvia Petersen', 'Jesse Moss']",7.3,265
The Book of Negroes,2015,"Drama, History, War","['Lyriq Bent', 'Ben Chaplin', 'Allan Hawco']",8.3,60
The Gentle Touch,1980,"Crime, Drama","['William Marlowe', 'Paul Moriarty', 'Brian Gwaspari']",7.7,60
Hap and Leonard,2016,"Crime, Drama, Thriller","['Michael Kenneth Williams', 'Tiffany Mack', 'Cranston Johnson']",6.7,22
Black-ish,2014,Comedy,"['Tracee Ellis Ross', 'Marcus Scribner', 'Miles Brown']",7.5,60
Tin Star,2017,"Crime, Drama, Thriller","[""Genevieve O'Reilly"", 'Abigail Lawrie', 'Christina Hendricks']",7.9,60
Godless,2017,"Drama, Western","['Michelle Dockery', 'Scoot McNairy', 'Merritt Wever']",7.2,43
9-1-1,2018,"Action, Drama, Thriller","['Peter Krause', 'Oliver Stark', 'Aisha Hinds']",8.3,43
Revolution,2012,"Action, Adventure, Drama","['Tracy Spiridakos', 'Giancarlo Esposito', 'Zak Orth']",7.9,30
Everything Sucks!,2018,Comedy,"['Peyton Kennedy', 'Patch Darragh', 'Claudine Mboligikpelani Nako']",6.2,60
Unsolved,2018,"Biography, Crime","['Bokeem Woodbine', 'Wavyy Jonez', 'Marcc Rose']",6.8,42
The Crossing,2018,"Adventure, Drama, Sci-Fi","['Natalie Martinez', 'Tommy Bastow', 'Rob Campbell']",7.9,42
Killing Eve,2018,"Action, Adventure, Drama","['Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']",8.1,60
Strike,2017,"Crime, Drama, Mystery","['Holliday Grainger', 'Kerr Logan', 'Killian Scott']",7.3,60
Get Christie Love!,1974,"Crime, Drama","['Charles Cioffi', 'Jack Kelly', 'Andy Romano']",8.5,42
Legends of Tomorrow,2016,"Action, Adventure, Drama","['Caity Lotz', 'Amy Louise Pemberton', 'Dominic Purcell']",7.8,60
Mr. Mercedes,2017,"Mystery, Sci-Fi, Thriller","['Holland Taylor', 'Jharrel Jerome', 'Breeda Wool']",7.5,60
Ófærð,2015,"Crime, Drama, Mystery","['Ilmur Kristjánsdóttir', 'Ingvar Sigurdsson', 'Elva María Birgisdóttir']",6.5,60
Electric Dreams,2017,Sci-Fi,"['Geraldine Chaplin', 'Bryan Cranston', 'Terrence Howard']",6.6,60
The Expanse,2015,"Drama, Mystery, Sci-Fi","['Cas Anvar', 'Dominique Tipper', 'Wes Chatham']",6.4,30
Future Man,2017,"Action, Adventure, Comedy","['Eliza Coupe', 'Derek Wilson', 'Haley Joel Osment']",6.2,60
Trust,2018,"Biography, Crime, Drama","['Donald Sutherland', 'Hilary Swank', 'Luca Marinelli']",6.2,55
Iron Fist,2017,"Action, Adventure, Crime","['Jessica Henwick', 'Jessica Stroup', 'Tom Pelphrey']",6.9,30
All-American Girl,1994,Comedy,"['Amy Hill', 'Jodi Long', 'Clyde Kusatsu']",7.9,30
Hangin' with Mr. Cooper,1992,"Comedy, Family, Sport","['Holly Robinson Peete', 'Sandra Quarterman', 'Marquise Wilson']",6.3,41
24: Legacy,2016,"Action, Crime, Drama","['Miranda Otto', 'Anna Diop', 'Teddy Sears']",6.3,30
Dear White People,2017,"Comedy, Drama","['Brandon P Bell', 'DeRon Horton', 'Antoinette Robertson']",6.6,30
M*A*S*H,1972,"Comedy, Drama, War","['Wayne Rogers', 'Loretta Swit', 'Jamie Farr']",8.4,25
Cheers,1982,"Comedy, Drama","['Rhea Perlman', 'John Ratzenberger', 'George Wendt']",7.8,22
Taxi,1978,Comedy,"['Jeff Conaway', 'Danny DeVito', 'Marilu Henner']",7.6,30
The Sopranos,1999,"Crime, Drama","['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",9.2,55
Mary Tyler Moore,1970,Comedy,"['Edward Asner', 'Gavin MacLeod', 'Valerie Harper']",8.1,30
The Cosby Show,1984,"Comedy, Family, Romance","['Phylicia Rashad', 'Keshia Knight Pulliam', 'Malcolm-Jamal Warner']",7.3,30
Frasier,1993,Comedy,"['Jane Leeves', 'David Hyde Pierce', 'Peri Gilpin']",8.8,22
Twin Peaks,1990,"Crime, Drama, Mystery","['Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']",8.3,47
Homeland,2011,"Crime, Drama, Mystery","['Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",7.1,55
Sex and the City,1998,"Comedy, Drama, Romance","['Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon']",7.5,30
"Magnum, P.I.",1980,"Action, Adventure, Crime","['John Hillerman', 'Roger E. Mosley', 'Larry Manetti']",6.9,48
Dallas,1978,"Drama, Romance","['Ken Kercheval', 'Patrick Duffy', 'Linda Gray']",8.9,60
Friends,1994,"Comedy, Romance","['Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",7.9,22
Breaking Bad,2008,"Crime, Drama, Thriller","['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",9.5,49
Game of Thrones,2011,"Action, Adventure, Drama","['Peter Dinklage', 'Kit Harington', 'Lena Headey']",9.3,57
Band of Brothers,2001,"Action, Drama, History","['Damian Lewis', 'Ron Livingston', 'Shane Taylor']",9.5,594
Chernobyl,2019,"Drama, History, Thriller","['Jared Harris', 'Stellan Skarsgård', 'Adam Nagaitis']",9.4,330
Sherlock,2010,"Crime, Drama, Mystery","['Martin Freeman', 'Una Stubbs', 'Rupert Graves']",9.1,88
The Wire,2002,"Crime, Drama, Thriller","['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",9.3,59
Rick and Morty,2013,"Animation, Adventure, Comedy","['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",9.2,23
Friends,1994,"Comedy, Romance","['Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",8.9,22
The Sopranos,1999,"Crime, Drama","['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",9.2,55
True Detective,2014,"Crime, Drama, Mystery","['Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",8.8,55
Stranger Things,2016,"Drama, Fantasy, Horror","['Finn Wolfhard', 'Winona Ryder', 'David Harbour']",9.2,51
