Title,Year,Genre,Stars,Rating,Duration
Fringe,2008,"Drama, Mystery, Sci-Fi","['Joshua Jackson', 'John Noble', 'Jasika Nicole']",8.7,46
Banshee,2013,"Action, Crime, Drama","['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']",8.3,60
American Horror Story,2011,"Drama, Horror, Thriller","['Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",8.5,60
The Shield,2002,"Crime, Drama, Thriller","['Catherine Dent', 'Walton Goggins', 'Michael Jace']",8.6,47
Prison Break,2005,"Action, Crime, Drama","['Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",8.3,44
John Adams,2008,"Biography, Drama, History","['Laura Linney', 'John Dossett', 'Stephen Dillane']",8.7,71
Justified,2010,"Action, Crime, Drama","['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']",8.5,44
Californication,2007,"Comedy, Drama","['Natascha McElhone', 'Evan Handler', 'Pamela Adlon']",8.2,28
Gomorra: La serie,2014,"Crime, Drama, Thriller","[""Marco D'Amore"", ""Cristiana Dell'Anna"", 'Fortunato Cerlino']",8.1,55
Suits,2011,"Comedy, Drama","['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",8.1,44
White Collar,2009,"Comedy, Crime, Drama","['Tim DeKay', 'Willie Garson', 'Tiffani Thiessen']",8.6,40
Castle,2009,"Comedy, Crime, Drama","['Stana Katic', 'Susan Sullivan', 'Jon Huertas']",8.7,43
The Blacklist,2013,"Crime, Drama, Mystery","['Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",8.6,43
The Mentalist,2008,"Crime, Drama, Mystery","['Robin Tunney', 'Tim Kang', 'Owain Yeoman']",8.3,43
Daredevil,2015,"Action, Crime, Drama","[""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",8.4,54
Battlestar Galactica,2004,"Action, Adventure, Drama","['Mary McDonnell', 'Jamie Bamber', 'James Callis']",8.3,44
Archer,2009,"Animation, Action, Comedy","['Judy Greer', 'Amber Nash', 'Chris Parnell']",8.4,22
24,2001,"Action, Crime, Drama","['Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert']",8.2,44
24: Live Another Day,2014,"Action, Crime, Drama","['Yvonne Strahovski', 'Tate Donovan', 'Mary Lynn Rajskub']",8.6,46
Life on Mars,2006,"Crime, Drama, Mystery","['Philip Glenister', 'Liz White', 'Dean Andrews']",8.6,60
Forbrydelsen,2007,"Crime, Drama, Mystery","['Morten Suurballe', 'Lars Mikkelsen', 'Bjarne Henriksen']",9.5,57
The Killing,2011,"Crime, Drama, Mystery","['Joel Kinnaman', 'Billy Campbell', 'Liam James']",8.3,45
Shameless,2011,"Comedy, Drama","['William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']",8.1,46
Doctor Who,2005,"Adventure, Drama, Family","['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",8.1,45
Band of Brothers,2001,"Action, Drama, History","['Damian Lewis', 'Ron Livingston', 'Shane Taylor']",8.7,594
Lost,2004,"Adventure, Drama, Fantasy","['Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",8.8,44
The Tudors,2007,"Drama, History, Romance","['Henry Cavill', 'Anthony Brophy', 'James Frain']",8.5,60
The Inbetweeners,2008,Comedy,"['James Buckley', 'Blake Harrison', 'Joe Thomas']",8.4,25
Curb Your Enthusiasm,2000,Comedy,"['Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",8.7,28
State of Play,2003,"Crime, Drama, Mystery","['Kelly Macdonald', 'Bill Nighy', 'Philip Glenister']",8.4,312
Extras,2005,"Comedy, Drama","['Ashley Jensen', 'Stephen Merchant', 'Shaun Williamson']",8.3,30
Ray Donovan,2013,"Crime, Drama","['Eddie Marsan', 'Dash Mihok', 'Pooch Hall']",8.3,60
The Americans,2013,"Crime, Drama, Mystery","['Matthew Rhys', 'Keidrich Sellati', 'Holly Taylor']",8.4,44
Almost Human,2013,"Action, Crime, Drama","['Michael Ealy', 'Minka Kelly', 'Mackenzie Crook']",8.5,60
