id,title,year,genre,stars,rating,duration,img_src
352,The Lost Room,2006,"Action, Fantasy, Mystery","['Julianna Margulies', 'Peter Jacobson', 'Dennis Christopher']",8.2,270,"""https://m.media-amazon.com/images/M/MV5BOTIzODYzNzMtZTE1ZS00MWRkLThhMTUtYzU4N2M0MDExZTI0XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg"""
353,Vikings,2013,"Action, Adventure, Drama","['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg"""
354,Masters of Sex,2013,"Drama, Romance","['Lizzy Caplan', 'Caitlin FitzGerald', 'Teddy Sears']",7.9,60,"""https://m.media-amazon.com/images/M/MV5BMTgzNjkzNjMxOF5BMl5BanBnXkFtZTgwMTcyMTg2OTE@.jpg"""
355,Bored to Death,2009,"Comedy, Crime, Drama","['Zach Galifianakis', 'Ted Danson', 'Heather Burns']",7.9,28,"""https://m.media-amazon.com/images/M/MV5BYWM2ZjkxMzctNTU1Ny00MjNmLWFkZWYtMmNiNzUzNGIzYWZhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg"""
356,The Kill Point,2007,"Action, Crime, Drama","['Donnie Wahlberg', 'Michael Hyatt', 'John Leguizamo']",7.4,45,"""https://m.media-amazon.com/images/M/MV5BZjllZWQ5NjQtZDU5Ni00ZTM5LWE1ZmEtOTI3NTU0YWNiYjkyXkEyXkFqcGdeQXVyODExMTkwNTQ@.jpg"""
357,The Yard,2011,Comedy,"['Devan Cohen', 'Daniel Lupetina', 'Alex Cardillo']",6.9,25,"""https://m.media-amazon.com/images/M/MV5BMTcyNzYwOTAzNl5BMl5BanBnXkFtZTgwMDg5NzcwMzE@.jpg"""
358,The Riches,2007,"Comedy, Crime, Drama","['Minnie Driver', 'Shannon Woodward', 'Noel Fisher']",7.8,30,"""https://m.media-amazon.com/images/M/MV5BMTI1NDI1NTM2Nl5BMl5BanBnXkFtZTcwMDAxMTM0MQ@@.jpg"""
359,BoJack Horseman,2014,"Animation, Comedy, Drama","['Amy Sedaris', 'Alison Brie', 'Aaron Paul']",8.7,30,"""https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg"""
360,Togetherness,2015,"Comedy, Drama, Romance","['Melanie Lynskey', 'Amanda Peet', 'Steve Zissis']",7.5,30,"""https://m.media-amazon.com/images/M/MV5BMjEwMjEyMzM2Ml5BMl5BanBnXkFtZTgwNTk2Mjk3NzE@.jpg"""
361,Review,2014,Comedy,"['Jessica St. Clair', 'Megan Stevenson', 'Michael Croner']",8.3,45,"""https://m.media-amazon.com/images/M/MV5BMTQ3NTc1MDQ0OF5BMl5BanBnXkFtZTgwNDc0Nzc0MTE@.jpg"""
362,Adam Ruins Everything,2015,"Animation, Comedy, History","['Adam Lustick', 'Emily Axford', 'Amos Vernon']",8.6,42,"""https://m.media-amazon.com/images/M/MV5BMTEyNzQyNzQyNjJeQTJeQWpwZ15BbWU4MDEwMjIyOTYx.jpg"""
363,Wentworth,2013,"Crime, Drama","['Robbie Magasiva', 'Katrina Milosevic', 'Jacqueline Brennan']",7.8,60,"""https://m.media-amazon.com/images/M/MV5BZDkxZmFhMDAtMmIyZS00NjAwLThlYjctZDQwMWQwYzdlYWY4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg"""
364,UnREAL,2015,Drama,"['Craig Bierko', 'Jeffrey Bowyer-Chapman', 'Brennan Elliott']",8.4,56,"""https://m.media-amazon.com/images/M/MV5BZmM2MDg3ZTctNmE4My00YmZjLTkyZGEtODZkMDU4ZjQ3ZDM2XkEyXkFqcGdeQXVyMTExNDQ2MTI@.jpg"""
365,Top Boy,2011,"Crime, Drama, Thriller","['Kane Robinson', 'Shone Romulus', 'Micheal Ward']",7.8,22,"""https://m.media-amazon.com/images/M/MV5BMjI0MjUzNzc0M15BMl5BanBnXkFtZTgwMjk3NDAzNzE@.jpg"""
366,In the Flesh,2013,"Drama, Horror","['Harriet Cains', 'Marie Critchley', 'Steve Cooper']",7.2,50,"""https://m.media-amazon.com/images/M/MV5BMjQwMzQ5MTI3NV5BMl5BanBnXkFtZTgwMjc4NzU4MTE@.jpg"""
367,Death Valley,2011,"Comedy, Horror","['Bryce Johnson', 'Tania Raymonde', 'Charlie Sanders']",8.3,60,"""https://m.media-amazon.com/images/M/MV5BMTk3ODQxNzU2Nl5BMl5BanBnXkFtZTcwNjU2NzE5Ng@@.jpg"""
368,The Last Ship,2014,"Action, Drama, Sci-Fi","['Adam Baldwin', 'Charles Parnell', 'Travis Van Winkle']",7.5,60,"""https://m.media-amazon.com/images/M/MV5BMTQ5MTM5Mjc5NV5BMl5BanBnXkFtZTgwMTk2MzExOTE@.jpg"""
369,Generation Kill,2008,"Drama, War","['James Ransone', 'Lee Tergesen', 'Jon Huertas']",8.5,70,"""https://m.media-amazon.com/images/M/MV5BMTM2NjAxOTQzNl5BMl5BanBnXkFtZTcwMjk4NzU3MQ@@.jpg"""
370,The Wire,2002,"Crime, Drama, Thriller","['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",9.3,59,"""https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg"""
371,Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.4,42,"""https://m.media-amazon.com/images/M/MV5BMjAwNzQ4MTMyMF5BMl5BanBnXkFtZTcwMDk3NTYyNw@@.jpg"""
372,Wilfred,2007,"Comedy, Drama","['Adam Zwar', 'Cindy Waddingham', 'Kim Gyngell']",7.8,25,"""https://m.media-amazon.com/images/M/MV5BYTJlYjVmODUtNjNmZC00YTgxLWE1ZWQtNDhlOTYwZDI1OWM4XkEyXkFqcGdeQXVyNjU1MTEwMjI@.jpg"""
373,Wilfred,2011,"Comedy, Drama, Mystery","['Jason Gann', 'Fiona Gubelmann', 'Dorian Brown Pham']",7.8,22,"""https://m.media-amazon.com/images/M/MV5BMTUxMTk4NDIyMV5BMl5BanBnXkFtZTgwMDQ0MTAyMjE@.jpg"""
374,The Inbetweeners,2008,Comedy,"['James Buckley', 'Blake Harrison', 'Joe Thomas']",8.4,25,"""https://m.media-amazon.com/images/M/MV5BMmFlZjEyZjItODJkZS00MWU3LTg0MDMtZjRiYTFhNDE4ODRjXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg"""
375,Impractical Jokers,2011,"Comedy, Reality-TV","['James Murray', 'Sal Vulcano', 'Joe Gatto']",8.6,30,"""https://m.media-amazon.com/images/M/MV5BMTg4ODkwODAzMV5BMl5BanBnXkFtZTgwNDMwNDM5NDM@.jpg"""
376,Suits,2011,"Comedy, Drama","['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",8.5,44,"""https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg"""
377,Community,2009,Comedy,"['Danny Pudi', 'Donald Glover', 'Chevy Chase']",8.5,22,"""https://m.media-amazon.com/images/M/MV5BNDQ5NDZiYjktZmFmMy00MjAxLTk1MDktOGZjYTY5YTE1ODdmXkEyXkFqcGdeQXVyNjcwMzEzMTU@.jpg"""
378,The Last Man on Earth,2015,"Action, Comedy, Drama","['January Jones', 'Cleopatra Coleman', 'Kristen Schaal']",7.3,22,"""https://m.media-amazon.com/images/M/MV5BMTUwMDQ2NTM2NF5BMl5BanBnXkFtZTgwMTk1NTk4OTE@.jpg"""
379,Episodes,2011,Comedy,"['Stephen Mangan', 'Tamsin Greig', 'John Pankow']",7.8,30,"""https://m.media-amazon.com/images/M/MV5BMTUwNzA5ODgyMV5BMl5BanBnXkFtZTgwMzEzOTc4MjI@.jpg"""
380,Siblings,2014,Comedy,"['Tom Stourton', 'Stella Gonet', 'Matthew Steer']",7.1,28,"""https://m.media-amazon.com/images/M/MV5BZWYyY2JiNmQtZTc0Mi00MGVjLWJkZDktMjA1YzhiMDRiMzJjXkEyXkFqcGdeQXVyMjExMjk0ODk@.jpg"""
381,How Not to Live Your Life,2007,Comedy,"['David Armand', 'Leila Hoffman', 'Laura Haddock']",8.3,30,"""https://m.media-amazon.com/images/M/MV5BMTY3NTI1OTQ2OF5BMl5BanBnXkFtZTcwMDY2ODc4Mw@@.jpg"""
382,QI,2003,"Comedy, Game-Show","['Stephen Fry', 'Sandi Toksvig', 'Phill Jupitus']",8.6,25,"""https://m.media-amazon.com/images/M/MV5BY2M2OTg3MDgtMjhiNC00Mzk0LWE4YjgtYzdjNzY0ODZkNTk4XkEyXkFqcGdeQXVyMDE4MzA0NQ@@.jpg"""
383,Peep Show,2003,Comedy,"['Robert Webb', 'Matt King', 'Olivia Colman']",8.6,22,"""https://m.media-amazon.com/images/M/MV5BZjYwMWJhOWMtZTc5ZC00MGY0LTg0ZjktMzFhODhhZGZhNDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg"""
384,Bob's Burgers,2011,"Animation, Comedy","['Dan Mintz', 'Eugene Mirman', 'John Roberts']",8.1,42,"""https://m.media-amazon.com/images/M/MV5BZGJiNmM1NDctNWUxYS00YzE4LWJjNTgtYTJhYzE0NjFmMTMwXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg"""
385,The Island,2015,"Drama, Fantasy, Mystery","['Graham Sheldon', 'Jud Nichols', 'Earnest Marshall']",8.2,22,"""https://m.media-amazon.com/images/M/MV5BNTAxNDgwNTM4Ml5BMl5BanBnXkFtZTgwMjgzMTI5NTE@.jpg"""
386,The League,2009,"Comedy, Sport","['Jonathan Lajoie', 'Nick Kroll', 'Stephen Rannazzisi']",7.9,25,"""https://m.media-amazon.com/images/M/MV5BMjAxMDg2NTc4OV5BMl5BanBnXkFtZTgwNTI2NTIzNjE@.jpg"""
387,Plebs,2013,Comedy,"['Ryan Sampson', 'Tom Basden', 'Karl Theobald']",7.8,30,"""https://m.media-amazon.com/images/M/MV5BMjVkYjg4OTYtODA1NS00NGUzLTkzN2ItZDI2Mzc0MTZlZTkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDAxMTYzMjQ@.jpg"""
388,Never Mind the Buzzcocks,1996,"Comedy, Game-Show, Music","['Mark Lamarr', 'Bill Bailey', 'Sean Hughes']",8.2,30,"""https://m.media-amazon.com/images/M/MV5BMTQ0ODQ1MzM5NF5BMl5BanBnXkFtZTgwNzYxOTkzNjE@.jpg"""
389,Party Down,2009,Comedy,"['Ken Marino', 'Ryan Hansen', 'Martin Starr']",7.5,50,"""https://m.media-amazon.com/images/M/MV5BNDQyMzE0ODgtNjg4MC00Njk4LWI1ZGUtZWU3MmUxOGNiOTQxXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg"""
390,The Vault,2011,"Drama, Mystery, Thriller","['Adam Epelbaum', 'Alexia Dox', 'Carlo Maghirang']",7.9,42,"""https://m.media-amazon.com/images/M/MV5BMjAyNDM3MjU3MV5BMl5BanBnXkFtZTgwOTMwOTUyMDE@.jpg"""
